Bilibili有声漫画总集 敔信收录,,,,,,,,,,,,,,,,,,,
"表头声明：此表格为敔信个人，使用人工为主、采集器为辅的方式收集制作。数据参照各视频及下方简介提供的信息，如有侵权信息，请联系删除。序号是按录入顺序排序。人工收集完善中，如有错漏之处恳请指出，感谢理解。此表格免费提供，请保留收集者信息。仅供个人或如QQ群聊等小范围学习交流使用，允许有声漫画译者在其与有声漫画相关的内容中使用，请勿用于其他未许可用途，请勿用于商业用途（表格内已列出的UP主使用除外）。请勿篡改表格信息。需要充电的视频，请谨慎消费，此表不构成消费建议，不承担相关责任。如有侵权，请联系删除。对此表格的最终解释权归敔信所有。如有能力，请支持有声漫画原作者。请支持有声漫画翻译者。
762,【漫画】「仕事で紹介したい人がいるの」頼れるクール上司に誘われ取引先に付いて行くと「こちら、私の彼氏です」上司の父に彼氏として紹介された..「いい？上司の言うことは絶対よ？」「先輩..？」,https://www.youtube.com/watch?v=maSrKb-414k,,"【有声漫画】可靠的冷酷上司邀请我去见客户「这位是我的男友」却被介绍给了上司的父亲...「听好了,上司的话要绝对遵守」「前辈..？」",https://www.bilibili.com/video/BV1uthqzmEpz,不会微笑的女神（33034983）,2025/8/30,,,,,,,,,,,,
763,街で逆ナンしてきた年上お姉さんに“遊ばれた”俺、後日入社した会社の経理の先輩の様子がおかしい,https://www.youtube.com/watch?v=zWab-_vj2zA,,【有声漫画】与搭讪的大姐姐共度一夜后 公司里的前辈样子有些怪,https://www.bilibili.com/video/BV1ADsPzwEfK,不会微笑的女神（33034983）,2025/10/19,,,,,,,,,,,,
764,【漫画】両親を失った親戚の娘の親代わりをしていた俺。８年後、俺が婚活を考えるようになると娘「おじさん、そろそろ結婚したら？私と」18歳になると積極的になり...,https://youtu.be/D66Xbbf4_jc?si=hUsIZfS_qHoCqH-O,,我收养的亲戚的女儿18岁后居然要和我结婚？,https://www.bilibili.com/video/BV1ZEcYzGE5e,小梓里面暖（403516012）,2026/2/12,,,,,,,,,,,,
765,,,,为了忘记前女友，我离开了家乡，成为一个阴沉的人,https://www.bilibili.com/video/BV1QS28BWEtU,SYOK_YT（480394638）,2025-12-04,需要充电,,,,,,,,,,,
766,,,,我被前女友请求假扮她妹妹的男朋友一个月，虽然无奈答应了，但期限过后却一直没能分手......,https://www.bilibili.com/video/BV1Y228BxEnU,SYOK_YT（480394638）,2025-12-04,,,,,,,,,,,,
767,,,,从短期出差回家后，哥哥发来消息说【我把你的未婚妻...】,https://www.bilibili.com/video/BV1woUmB8Ekb,SYOK_YT（480394638）,2025-11-25,,,,,,,,,,,,
768,,,,当我和那个粗鲁的青梅竹马十年后重逢时，她已出落成清纯美人....,https://www.bilibili.com/video/BV1rZUmBfE2A,SYOK_YT（480394638）,2025-11-25,,,,,,,,,,,,
769,,,,在职场被所有人当成废物的我因骨折住院，一周后，公司发生了重大变故...,https://www.bilibili.com/video/BV1TzUCBxE6A,SYOK_YT（480394638）,2025-11-24,,,,,,,,,,,,
770,,,,在街上帮助摔倒的老奶奶而迟到的我，刚到公司就被上司告知要被解雇，正不知所措时...,https://www.bilibili.com/video/BV1K6UCBREpH,SYOK_YT（480394638）,2025-11-24,,,,,,,,,,,,
771,,,,总是嘲笑我的这位义妹，竟然在我说谎时...,https://www.bilibili.com/video/BV1TzUCBxEWN,SYOK_YT（480394638）,2025-11-24,,,,,,,,,,,,
772,,,,【恋爱漫画】当校花级美少女遭遇跟踪狂困扰，我出手相助后，竟发展成了同居关系...,https://www.bilibili.com/video/BV1SZUcBGEtH,SYOK_YT（480394638）,2025-11-23,需要充电,,,,,,,,,,,
773,,,,我和高冷的美女大小姐一起出差，然而只订了一间房...,https://www.bilibili.com/video/BV18ZUcBVE4C,SYOK_YT（480394638）,2025-11-23,,,,,,,,,,,,
774,,,,因为同事撞到了孩子导致孩子受伤，所以我独自去商谈→当我走进社长办公室道歉时，被我帮助的那个孩子出现了...,https://www.bilibili.com/video/BV1DZUcBGEu1,SYOK_YT（480394638）,2025-11-23,,,,,,,,,,,,
775,,,,"我被不喜欢我的上司陷害，被降职了,没想到美女接待员竟然跟着我...",https://www.bilibili.com/video/BV1gZUcBVE71,SYOK_YT（480394638）,2025-11-23,,,,,,,,,,,,
776,,,,【恋爱漫画】和平日里在工作中总是给人添麻烦的美女上司一起在家喝酒，因为一直让她输掉游戏...,https://www.bilibili.com/video/BV1j4UsBQEc1,SYOK_YT（480394638）,2025-11-22,需要充电,,,,,,,,,,,
777,,,,【恋爱漫画】我和网游里的朋友要结婚了，被一个富家千金【锁定了】，对方调查了我的个人信息，打算在现实中结婚...,https://www.bilibili.com/video/BV1RbUsBJEyi,SYOK_YT（480394638）,2025-11-22,需要充电,,,,,,,,,,,
778,,,,我是社长，结果文件里混进了结婚申请书，我不小心盖了章...,https://www.bilibili.com/video/BV17WUsB9EbZ,SYOK_YT（480394638）,2025-11-22,,,,,,,,,,,,
779,,,,为什么对我一个人黏黏糊糊、甜言蜜语的呢...,https://www.bilibili.com/video/BV1oWUsBXEfm,SYOK_YT（480394638）,2025-11-22,,,,,,,,,,,,
780,,,,我被上司陷害，调到了地方分公司。一天，我发现新任的美女分公司经理独自加班.....,https://www.bilibili.com/video/BV1qtypBBEBv,SYOK_YT（480394638）,2025-11-19,,,,,,,,,,,,
781,,,,29岁单身职员拜访美女客户时，被问及【情人节收到几颗巧克力】...,https://www.bilibili.com/video/BV1j8ypBTEhn,SYOK_YT（480394638）,2025-11-19,,,,,,,,,,,,
782,,,,我是一名阴沉大学生，最近向邻居的姐姐学习了成人的游戏，当游戏开始的时候，我被姐姐给出了致命一击...,https://www.bilibili.com/video/BV1VqypBaEAj,SYOK_YT（480394638）,2025-11-19,,,,,,,,,,,,
783,,,,我帮助了一位土气女孩，却和组长女儿的事情暴露了....,https://www.bilibili.com/video/BV1noCvBVEaa,SYOK_YT（480394638）,2025-11-17,,,,,,,,,,,,
784,,,,当女朋友要来我房间的时候...青梅竹马不知为什么每天都擅自进入我房间,https://www.bilibili.com/video/BV1noCvBVEkY,SYOK_YT（480394638）,2025-11-17,,,,,,,,,,,,
785,,,,【恋爱漫画】雇了一个美女来做家务，不知为什么，她和我一起.....,https://www.bilibili.com/video/BV1U9CaBmExZ,SYOK_YT（480394638）,2025-11-17,,,,,,,,,,,,
786,,,,【恋爱漫画】经营咖喱专门店的我很穷困，衣衫褴褛的母亲带着双胞胎女儿来到店里说【只要10日元，给我们女儿们来点咖喱汤就行】  我说【给你们三大碗免费的】   虽然,https://www.bilibili.com/video/BV1CZCtBbEvM,SYOK_YT（480394638）,2025-11-13,,,,,,,,,,,,
787,,,,【恋爱漫画】所有男人都会着迷的漂亮接待员突然逼问道【还来得及吗！？】→看来我的单身身份暴露了...,https://www.bilibili.com/video/BV1zmC7BxEWo,SYOK_YT（480394638）,2025-11-12,需要充电,,,,,,,,,,,
788,,,,【恋爱漫画】在同学聚会上，精英校友们都在炫耀自己的漂亮女友，而我却失业在家，这时，一位知名模特出现并说道【让你久等了】...,https://www.bilibili.com/video/BV1BUC7BREVX,SYOK_YT（480394638）,2025-11-12,,,,,,,,,,,,
789,,,,【恋爱漫画】当我拿着便当筷子去给我的义妹送饭时，发现她一个人进了厕所....,https://www.bilibili.com/video/BV1QJkCB2E4n,SYOK_YT（480394638）,2025-11-11,,,,,,,,,,,,
790,,,,【恋爱漫画】租借****友，结果这些漂亮女同学开始争着预约，于是我....,https://www.bilibili.com/video/BV15NkzBrEST,SYOK_YT（480394638）,2025-11-11,,,,,,,,,,,,
791,,,,【恋爱漫画】作为单身父亲，因为周末加班不能陪女儿玩.....然而这次突然放假了，原来邻居女士竟是公司新老板.....,https://www.bilibili.com/video/BV1LKCwBuEE3,SYOK_YT（480394638）,2025-11-10,需要充电,,,,,,,,,,,
792,,,,【恋爱漫画】在面临停业危机时，一位美女出现了，说如果你失业了就来这里工作吧...,https://www.bilibili.com/video/BV1WykfB1EVn,SYOK_YT（480394638）,2025-11-10,,,,,,,,,,,,
793,,,,【恋爱漫画】我被告知需要紧急手术，被送往医院。而负责手术的那位技术高超的女医生，竟然是我前女友…,https://www.bilibili.com/video/BV1WykfB1EN3,SYOK_YT（480394638）,2025-11-10,,,,,,,,,,,,
794,,,,【恋爱漫画】曾是阴沉宅男的我前往医院健康检查并住院，在那里竟遇到了本该在8年前就已去世的前女友…,https://www.bilibili.com/video/BV1p2kfB5EWv,SYOK_YT（480394638）,2025-11-10,,,,,,,,,,,,
795,,,,【恋爱漫画】我这个阴沉的人被最可怕的女学生会会长叫去，还被学妹邀请约会…,https://www.bilibili.com/video/BV1pF1XBAE7q,SYOK_YT（480394638）,2025-11-08,,,,,,,,,,,,
796,,,,【恋爱漫画】内向的我在游戏里和女朋友们结婚了，青梅竹马却传出了恋情，约我见面，我拒绝了....,https://www.bilibili.com/video/BV1Av1DBhEJZ,SYOK_YT（480394638）,2025-11-08,需要充电,,,,,,,,,,,
797,,,,【恋爱漫画】人气第一的陪酒美女姐姐要求我假扮她妹妹的男朋友，赶走纠缠她妹妹的追求者...,https://www.bilibili.com/video/BV1SF1SBvEgc,SYOK_YT（480394638）,2025-11-08,,,,,,,,,,,,
798,,,,【恋爱漫画】客户公司秘书被解雇，我开玩笑说愿代劳，结果被美女社长直接录用，并要求开始同居生活...,https://www.bilibili.com/video/BV1eK2uBAEQV,SYOK_YT（480394638）,2025-11-07,,,,,,,,,,,,
799,,,,【恋爱漫画】那个让我当弟弟的不良少女 当被她带去集会时....,https://www.bilibili.com/video/BV1bG2TBnE8N,SYOK_YT（480394638）,2025-11-07,需要充电,,,,,,,,,,,
800,,,,【恋爱漫画】路边相助的女孩竟是组长千金，还冲我喊【爸爸】。被请回家后，面对像依赖父亲般依恋我的母女，我接下了保镖一职..,https://www.bilibili.com/video/BV1G12TBZEmc,SYOK_YT（480394638）,2025-11-07,,,,,,,,,,,,
801,,,,【恋爱漫画】领养的女儿几年后成了人气女演员，好莱坞也向她发出了邀约，但她不愿离家...,https://www.bilibili.com/video/BV1aC2NBHEmK,SYOK_YT（480394638）,2025-11-07,,,,,,,,,,,,
802,,,,【恋爱漫画】对我很好的邻居便当店的大姐姐，几年后，在送餐途中重逢...,https://www.bilibili.com/video/BV1xU2cBaEoB,SYOK_YT（480394638）,2025-11-06,,,,,,,,,,,,
803,,,,【恋爱漫画】当知道我照顾的小女孩是我哥哥的孩子后，一直讨厌我的保育员..想要成为这个女孩的母亲...,https://www.bilibili.com/video/BV1KU2cBaEnM,SYOK_YT（480394638）,2025-11-06,需要充电,,,,,,,,,,,
804,,,,【恋爱漫画】附近那位没有男友的三十岁女巫姐姐，她知道我有女朋友后，就对着稻草人钉钉子诅咒我...,https://www.bilibili.com/video/BV1sD2cBcEmd,SYOK_YT（480394638）,2025-11-06,,,,,,,,,,,,
805,,,,【恋爱漫画】我训斥了缠着要住店的黑道千金，结果却被她带到老大面前，直接被介绍为“未来的女婿”..,https://www.bilibili.com/video/BV1cR1fBSE7C,SYOK_YT（480394638）,2025-11-06,,,,,,,,,,,,
806,,,,【恋爱漫画】露营时我救了一位湿身的美女，在同一帐篷里度过了一夜，而这位美女其实是公司社长的千金....,https://www.bilibili.com/video/BV1f218BaE4D,SYOK_YT（480394638）,2025-11-06,,,,,,,,,,,,
807,,,,【恋爱漫画】曾经和我订下婚约的青梅竹马成了知名模特，却对我这个阴沉的人态度变冷，逐渐疏远。当我弄丢了她送的手工围巾后...青梅竹马问【你是不是不要我了】....,https://www.bilibili.com/video/BV1xo1HBXEUF,SYOK_YT（480394638）,2025-11-05,需要充电,,,,,,,,,,,
808,,,,【恋爱漫画】我被前女友请求假扮她妹妹的男朋友一个月，虽然了解了情况后无奈答应了，但期限过后却一直没能分手，前女友问你们俩到底什么时候分手啊？妹妹说：我已经喜欢上,https://www.bilibili.com/video/BV1CN1pB7Egz,SYOK_YT（480394638）,2025-11-05,,,,,,,,,,,,
809,,,,【恋爱漫画】为了让我喜欢的人注意到我，我成为了人气偶像，并通过儿时玩伴的介绍成为了偶像圈里的经纪人,https://www.bilibili.com/video/BV1pN1pB7E3L,SYOK_YT（480394638）,2025-11-05,,,,,,,,,,,,
810,,,,【恋爱漫画】总裁开始向我低头，美女上司说你究竟是什么人，我揭露了自己的真实身份...,https://www.bilibili.com/video/BV1pN1pB7EsQ,SYOK_YT（480394638）,2025-11-05,,,,,,,,,,,,
811,,,,【恋爱漫画】那个朴实的女学生因为在体育课上找不到搭档，和我一组，其实她是在暗示我，为了和我一组，她每次都拒绝别人的邀请...,https://www.bilibili.com/video/BV1gn1EBDEes,SYOK_YT（480394638）,2025-11-04,,,,,,,,,,,,
812,,,,【恋爱漫画】要和我一起用吗？♥ 我和同居的恋人吵架分手后，去回收店卖床时，店员竟然是前女友的妈妈，她这样诱惑我...,https://www.bilibili.com/video/BV1jM1EBfEJs,SYOK_YT（480394638）,2025-11-04,,,,,,,,,,,,
813,,,,【恋爱漫画】「我喜欢上那家伙了」我的两个青梅竹马误以为我喜欢她们，结果争吵了起来。为了确认情况，我赶过去一看，却发现我正在向另一个女孩告白……,https://www.bilibili.com/video/BV16k1EBiE9p,SYOK_YT（480394638）,2025-11-04,,,,,,,,,,,,
814,,,,【恋爱漫画】当校花级美少女遭遇跟踪狂困扰，我出手相助后，竟发展成了同居关系...,https://www.bilibili.com/video/BV15X1zBJE7U,SYOK_YT（480394638）,2025-11-04,需要充电,,,,,,,,,,,
815,,,,【恋爱漫画】受托去劝说他“儿子”结婚，对方却直言：“要结婚？对象就是你” 这时我才发现，组长的继承人竟是位...,https://www.bilibili.com/video/BV1jm1zBXEx1,SYOK_YT（480394638）,2025-11-04,,,,,,,,,,,,
816,,,,【恋爱漫画】向溺爱我的义姐咨询恋爱，她竟与我告白的前辈势同水火...,https://www.bilibili.com/video/BV1jS1zBHEc2,SYOK_YT（480394638）,2025-11-04,,,,,,,,,,,,
817,,,,【恋爱漫画】工作中无法照顾女儿的我很无奈。因为经常加班被讨厌我的女上司责骂后...,https://www.bilibili.com/video/BV1jS1zBHEFn,SYOK_YT（480394638）,2025-11-04,,,,,,,,,,,,
818,,,,【恋爱漫画】经常来留宿的妹妹好友是个冷酷的美女高中生 虽然我以为她讨厌我  但为什么妹妹不在的时候  她也会来我家...,https://www.bilibili.com/video/BV1QK1YB4Epj,SYOK_YT（480394638）,2025-11-03,需要充电,,,,,,,,,,,
819,,,,【恋爱漫画】为了成为女明星而向娱乐事务所社长（我）搭讪的美女。虽然事务所即将破产，但不知为何美女却不肯辞职...,https://www.bilibili.com/video/BV1DT1YBdEiN,SYOK_YT（480394638）,2025-11-03,,,,,,,,,,,,
820,,,,【恋爱漫画】我把雨中浑身湿透的邻座美少女带回家，洗完澡后，她误以为我的母亲（看起来太年轻）是我的女朋友，不知为何开始嫉妒起来...,https://www.bilibili.com/video/BV1Le1hB8ErU,SYOK_YT（480394638）,2025-11-03,需要充电,,,,,,,,,,,
821,,,,【恋爱漫画】照顾醉酒的前女友并让她留宿家中后的....,https://www.bilibili.com/video/BV1oE1eBTEuo,SYOK_YT（480394638）,2025-11-03,,,,,,,,,,,,
822,,,,【恋爱漫画】我讨厌的青梅竹马成了女明星，遥不可及。同学会上我刚和女生聊天，她便当众提起婚约，醋意惊人...,https://www.bilibili.com/video/BV1iE1eBMEd7,SYOK_YT（480394638）,2025-11-03,,,,,,,,,,,,
823,,,,【恋爱漫画】对人际关系感到疲惫，在跳槽的新公司，竟与前任们重逢了...,https://www.bilibili.com/video/BV1jE1eBMERa,SYOK_YT（480394638）,2025-11-03,,,,,,,,,,,,
